index,y,x,rightdis,leftdis,topdis,bottomdis,average4,averagecol,averagerow,pred
0,356.5,298.25,19.0,19.026297590440446,18.0,19.0,18.756574397610112,18.5,19.013148795220225,1
1,356.5,298.25,19.0,19.026297590440446,18.0,19.0,18.756574397610112,18.5,19.013148795220225,1
2,356.5,298.25,19.0,19.026297590440446,18.0,19.0,18.756574397610112,18.5,19.013148795220225,1
3,356.5,298.25,19.0,19.026297590440446,18.0,19.0,18.756574397610112,18.5,19.013148795220225,1
4,356.5,300.0,19.0,17.0,18.027756377319943,18.027756377319943,18.013878188659973,18.027756377319943,18.0,1
5,355.0,319.25,18.027756377319943,18.0,18.0,17.0,17.756939094329987,17.5,18.013878188659973,1
6,355.0,357.75,18.0,18.027756377319943,17.0,18.0,17.756939094329987,17.5,18.013878188659973,1
7,355.0,384.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,1
13,354.75,421.0,19.0,18.0,18.027756377319943,18.0,18.256939094329987,18.013878188659973,18.5,1
16,355.0,252.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,1
18,356.0,207.5,18.027756377319943,18.027756377319943,18.0,18.0,18.013878188659973,18.0,18.027756377319943,1
19,355.0,194.25,18.027756377319943,18.0,18.0,17.0,17.756939094329987,17.5,18.013878188659973,1
22,353.0,161.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,1
39,355.75,322.5,19.026297590440446,18.027756377319943,18.027756377319943,18.0,18.27045258627009,18.013878188659973,18.5270269838802,1
40,355.0,287.75,18.0,18.027756377319943,17.0,18.0,17.756939094329987,17.5,18.013878188659973,1
41,354.25,261.5,19.026297590440446,18.027756377319943,18.0,18.027756377319943,18.27045258627009,18.013878188659973,18.5270269838802,1
42,353.75,255.0,19.0,18.0,18.027756377319943,18.0,18.256939094329987,18.013878188659973,18.5,1
43,356.5,256.25,19.0,19.026297590440446,18.0,19.0,18.756574397610112,18.5,19.013148795220225,1
44,356.5,256.25,19.0,19.026297590440446,18.0,19.0,18.756574397610112,18.5,19.013148795220225,1
45,356.5,256.25,19.0,19.026297590440446,18.0,19.0,18.756574397610112,18.5,19.013148795220225,1
46,356.5,256.25,19.0,19.026297590440446,18.0,19.0,18.756574397610112,18.5,19.013148795220225,1
47,356.5,256.25,19.0,19.026297590440446,18.0,19.0,18.756574397610112,18.5,19.013148795220225,1
